Ticker (all values in $ billions),"Market Capitalization Growth %, YoY FY 2013","S&P 500 Growth %, YoY FY 2013",Relative Performance to S&P 500,- Cash & Equivalents FY 2012,"- Cash & Equivalents Growth %, YoY FY 2012",+ Preferred & Other FY 2012,"+ Preferred & Other Growth %, YoY FY 2012",+ Total Debt FY 2012,"+ Total Debt Growth %, YoY FY 2012",Net Debt to EBITDA FY 2012,Enterprise Value FY 2012,Enterprise Value to Revenue FY 2012,Enterprise Value to EBITDA FY 2012,Enterprise Value to Free Cash Flow FY 2012,"Enterprise Value Growth %, YoY FY 2012","Revenue, Adj FY 2012","Revenue Growth %, YoY FY 2012","Gross Profit, Adj FY 2012",Gross Margin % FY 2012,"EBITDA, Adj FY 2012",EBITDA Margin % FY 2012,"EBITDA Growth %, YoY FY 2012","Net Income, Adj FY 2012",Net Income Margin % FY 2012,"Net Income Growth %, YoY FY 2012","EPS, Adj FY 2012","EPS Growth %, YoY FY 2012",Cash from Operations FY 2012,"Cash from Operations Growth %, YoY FY 2012",Capital Expenditures FY 2012,"Capital Expenditures Growth %, YoY FY 2012",Free Cash Flow FY 2012,"Free Cash Flow Growth %, YoY FY 2012",Return on Common Equity FY 2012,Return on Assets FY 2012,Return on Capital FY 2012,Return on Invested Capital FY 2012,Operating Margin FY 2012,Sustainable Growth Rate FY 2012,Altman's Z-Score FY 2012,Cash Ratio FY 2012,Current Ratio FY 2012,Quick Ratio FY 2012,CFO/CapEx FY 2012,Weighted Average Cost of Cap FY 2012,Sales per Employee FY 2012,WACC Economic Value Added FY 2012,Asset Turnover FY 2012,Total Debt to Total Equity FY 2012,Price to Sales Ratio FY 2012,R & D Expenditure to Net Sales FY 2012,Total Debts to Total Capital FY 2012,Trailing 12M EBIT Margin FY 2012,Interest Expense FY 2012,EBIT to Interest Expense FY 2012,Price Earnings Ratio (P/E) FY 2012,Total Invested Capital FY 2012,Earnings Yield FY 2012
NTAP ,-0.126187867,0.296,-0.422187867,5398.5,0.043248884,0,0,1264.9,-7.91E-05,-3.976144671,10096.738,1.619832189,9.712137361,9.565834202,-0.34089624,6233.2,0.216804,3713.4,0.595745364,1039.6,0.166784316,0.050207092,605.4,0.097125072,-0.100579409,1.6079,-0.063759171,1462.6,0.086384907,-407.1,0.828019758,1055.5,-0.060608758,0.150901,0.067151,0.126758,0.120209,0.119762,0.150901,3.6,1.5338,1.9395,1.7698,3.5927,0.119854605,513062.8035,-32.48073646,0.691383221,29.4601267,2.278607617,0.132869152,22.75613925,0.11976192,74.7,9.99330656,24.27377686,5558.9,0.04119672
DXC ,0,0.296,-0.296,—,0,—,0,—,0,0,—,0,0,0,0,—,0,—,0,—,0,0,—,0,0,—,0,—,0,—,0,—,0,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,—,—,—,—,—,#VALUE!,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#VALUE!,#N/A N/A,#VALUE!,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#VALUE!
CTXS ,-0.051909156,0.296,-0.347909156,928.631,0.255318976,0,0,0,0,-1.533277416,11299.131,4.369139055,18.65617493,16.24444304,0.071732077,2586.123,0.172105,2181.986,0.843728624,605.651,0.234192651,0.051074154,352.547,0.136322596,-0.01059435,1.6928,-0.101343101,818.527,0.205272396,-122.958,0.098506236,695.569,0.226342143,0.120482,0.07926,#VALUE!,0.110723,0.151106,0.120482,7.296,0.6915,1.2762,1.1614,6.657,0.148021147,314919.9951,-3.9117632,0.58141627,0,4.73786345,0.174226439,0,0.151105729,#N/A N/A,#N/A N/A,38.76449829,3331.743,0.0257968
GT ,0.748156468,0.296,0.452156468,2281,-0.177128427,1289,-0.062545455,5086,-0.022111132,1.728280961,7477.45,0.356204745,4.607178065,-84.01629213,0.027736353,20992,-0.077964,3829,0.18240282,1623,0.077315168,-0.065092166,183,0.008717607,-0.429906542,1.8655,0.013032854,1038,0.342820181,-1127,0.080536913,-89,-0.67037037,#VALUE!,0.012254,0.065691,0.112202,0.044588,#VALUE!,1.972,0.4286,1.5968,0.9098,0.921,0.073397893,304231.8841,-316.8666279,1.213340269,438.8265746,0.161178068,0.017625762,81.44115292,0.044588415,357,2.621848739,7.402817252,6422,0.135083707
DVA ,0.158428601,0.296,-0.137571399,540.886,0.315541006,745.603,0.231860042,8554.325,0.898864343,4.883289498,20419.7995,2.494392997,12.44357041,37.07958115,0.730779599,8186.28,0.21606,2607.427,0.318511827,1640.992,0.200456373,0.15398009,536.017,0.065477482,0.121372131,3.1245,0.149812321,1100.848,-0.067114333,-550.146,0.374828817,550.702,-0.293872213,0.181571,0.043015,0.081331,0.079223,0.158446,0.181571,4.3508,0.268,1.4264,0.9723,2.001,0.059338836,153301.1236,-194.4458551,0.656941441,189.7276179,1.296420694,#VALUE!,65.48482305,0.158446083,288.554,4.495117032,17.68735547,13308.187,0.056537564
HIG ,0.677376044,0.296,0.381376044,2421,-0.061991476,556,0,7287,0.115926493,0,15212.7066,0.582371434,0,5.674265796,0.300647229,26122,0.201951,—,0,—,0,0,-80,-0.003062553,-1.119402985,1.015,-0.157046757,2681,0.178979771,0,0,2681,0.178979771,-0.003736,-0.000126,0.008971,-0.024557,0.002565,#VALUE!,—,—,—,—,—,0.099561088,1160977.778,-35323.65628,0.08691081,32.46313539,0.376004441,#VALUE!,24.50729804,#VALUE!,457,#N/A N/A,22.10913677,286399,0.045230169
IRM ,-0.015233488,0.296,-0.311233488,243.415,0.353471045,12.477,0.456232493,3825.003,0.140570338,4.075738713,9493.7447,3.160415086,10.80359405,49.43294143,0.118984184,3003.955,-0.003565,1726.842,0.574856148,878.758,0.292533676,-0.020354152,170.922,0.056898988,-0.567874642,1.0063,-0.140649018,432.736,-0.296864997,-240.683,0.150739882,192.053,-0.527292552,0.142693,0.027569,0.067694,0.066634,0.184912,-0.563579,2.1511,0.269,1.1317,0.9013,1.798,0.065200888,167397.8824,-163.7383019,0.484524618,329.0472348,1.794435736,0,76.69254294,0.184911558,245.017,2.267050858,28.77395165,5236.746,0.034753655
EL ,0.212439798,0.296,-0.083560202,1347.7,0.075578611,14.3,-0.1875,1288.1,0.057466546,-0.037076205,21001.8345,2.162106171,13.06490482,29.74764093,0.012881595,9713.6,0.102565,7717.8,0.794535497,1607.5,0.165489623,0.161656309,856.9,0.088216521,0.222745434,2.3121,0.19002522,1126.7,0.09707887,-420.7,0.198575499,706,0.044378698,0.319584,0.133194,#VALUE!,0.221564,0.135037,0.243476,7.4122,0.634,1.8135,1.1328,2.6782,0.106694538,252301.2987,442.1401408,1.50985863,46.88262056,2.165669165,0.009934525,31.91842601,0.135037473,#N/A N/A,#N/A N/A,23.406877,4163.9,0.042722487
CDNS ,0.06411627,0.296,-0.23188373,827.061,0.367859169,0,0,447.011,0.049368399,-1.263090376,3391.8054,2.557104968,11.27261349,12.11237948,0.276451727,1326.424,0.153578,1135.301,0.855911081,300.889,0.226842247,0.419120387,439.948,0.331679765,5.091016074,1.4924,4.791230113,315.994,0.314768122,-35.966,0.144648483,280.028,0.340353531,0.663421,0.217351,0.420617,0.413898,0.159581,0.663421,2.3546,0.6794,1.1429,0.7598,8.7859,0.113173608,255081.5385,309.1763286,0.655303794,48.84453288,2.740630266,0.342337744,32.81580582,0.159580948,34.742,6.092683208,9.005706965,1362.267,0.111040699
UHS ,0.692870958,0.296,0.396870958,23.471,-0.430716243,286.907,0.06644191,3731.605,0.021264362,2.963493919,8713.5684,1.251697704,6.963773955,19.98346111,0.141125445,6961.4,0.029759,—,0,1251.271,0.179744161,0.048853761,443.446,0.063700692,0.115177821,4.3936,0.087524752,799.231,0.112746101,-363.192,0.271315659,436.039,0.008021842,0.177035,0.055899,0.093224,0.08873,0.135401,0.153843,3.4679,0.0263,1.5743,1.2199,2.2006,0.076890712,151334.7826,65.92707708,0.877519399,124.3763857,0.672464641,0,55.43203012,0.135401069,179.003,5.26572739,11.00466315,7136.983,0.090870569
ETFC ,1.203944292,0.296,0.907944292,2761.494,0.315097967,0,0,7480.559,-0.190939831,6.349528737,7279.7883,3.330739871,9.794996468,-30.51055662,-0.227008064,2185.637,-0.069833,—,0,743.215,0.34004503,-0.269918437,-112.583,-0.051510383,-1.718457444,0.3237,-0.411882267,-158.759,-1.14485905,-79.84,-0.107035007,-238.599,-1.237047524,-0.0229,-0.002362,-0.008478,0.019534,-0.076905,#VALUE!,—,—,—,—,-1.9885,0.085544147,728545.6667,-211.0457377,0.045855479,152.5253289,1.170114067,#VALUE!,60.40001198,#VALUE!,#N/A N/A,#N/A N/A,27.65264569,11351.74,0.036162905
SWKS ,0.027302196,0.296,-0.268697804,307.1,-0.251134515,0,-1,0,-1,-0.857102986,4223.488,2.692520719,11.78757466,22.10093145,0.425513975,1568.6,0.105504,667.1,0.425283692,358.3,0.228420247,-0.040182159,202,0.128777254,-0.108561342,1.2035,-0.071874759,285.2,-0.220338983,-94.1,-0.064612326,191.1,-0.279411765,0.114949,0.100323,0.114102,0.117008,0.162948,0.114949,14.4058,1.6809,4.8347,3.3098,3.0308,0.169458178,333744.6809,-118.1737209,0.779043598,0,2.790671937,0.135471121,0,0.162947852,0,#N/A N/A,19.57665891,1864.6,0.051081239
